0	0.81
1	2.05
2	0.96
3	2.05
4	0.57
5	0.57
6	1.20
7	1.11
8	2.13
9	0.81
10	1.20
11	1.11
12	1.20
13	1.25
14	1.20
15	0.96
16	1.20
17	1.11
18	1.20
19	1.21
20	1.11
21	0.57
22	1.11
23	0.57
24	0.81
25	1.13
26	0.96
27	1.12
28	0.57
29	0.57
30	1.20
31	1.11
32	1.20
33	0.84
34	1.20
35	1.12
36	1.20
37	1.10
38	1.20
39	0.97
40	1.21
41	1.11
42	1.21
43	1.20
44	1.10
45	0.58
46	1.10
47	0.63
48	1.13
49	25.33
50	1.11
51	1.21
52	1.20
53	1.10
54	1.14
55	25.37
56	1.11
57	1.20
58	1.20
59	1.10
60	0.58
61	1.21
62	0.58
63	1.20
64	0.96
65	0.81
66	0.97
67	1.20
68	0.97
69	1.21
70	1.13
71	1.12
72	1.14
73	13.34
74	1.12
75	1.20
76	1.20
77	1.11
78	1.13
79	13.32
80	1.11
81	1.20
82	1.20
83	1.10
84	0.54
85	1.20
86	0.57
87	1.20
88	0.97
89	0.97
90	0.81
91	1.19
92	0.81
93	1.20
94	1.11
95	1.12
96	0.81
97	0.97
98	1.20
99	1.23
100	1.21
101	1.22
102	0.82
103	0.97
104	1.20
105	1.21
106	1.20
107	1.20
108	1.12
109	2.02
110	1.13
111	1.11
112	0.57
113	0.59
114	1.13
115	1.10
116	1.12
117	1.14
118	0.57
119	0.57
